Total percentage of each badge : ,gold = 10.2651459043,silver = 32.9654865946,bronze = 56.7693675011
Name,% of gold,% of silver,% of bronze
Devoted,1.2265512265512266,0.7863401482812851,0.6784083496412263
Matt,0.0,0.0,0.03913894324853229
jason,0.0,0.0,0.03261578604044357
Russell,0.5050505050505051,0.662772410694226,0.7566862361382909
user7083361,0.0,0.0,0.0
ParagM,0.0,0.03370029206919793,0.091324200913242
badner,0.0,0.011233430689732643,0.08480104370515329
Chris Hawk,0.0,0.0,0.03261578604044357
bikuser,0.0,0.0,0.05870841487279843
Gianluca Bargelli,0.03607503607503607,0.12356773758705908,0.136986301369863
Simon,0.7936507936507936,0.8312738710402158,0.7175472928897586
Alan,0.0,0.03370029206919793,0.08480104370515329
XogoX,0.0,0.011233430689732643,0.03913894324853229
Haozhe Xie,0.03607503607503607,0.07863401482812851,0.16960208741030658
HRMokdad,0.0,0.0,0.019569471624266144
Sherry,0.0,0.0,0.03261578604044357
Kairat Tilegen,0.0,0.0,0.0
Mihai Stefanescu,0.0,0.0,0.013046314416177431
valentjedi,0.07215007215007214,0.08986744551786115,0.17612524461839532
coralv,0.0,0.03370029206919793,0.08480104370515329
jiahuiding,0.0,0.0,0.026092628832354862
Ericson Willians,0.10822510822510822,0.14603459896652438,0.2870189171559035
alvas,1.0822510822510822,1.3929454055268478,1.7090671885192432
jprockbelly,0.0,0.044933722758930573,0.07827788649706457
Amelio Vazquez-Reina,1.1183261183261184,1.7636486182880253,2.1069797782126547
Cameron Sima,0.03607503607503607,0.044933722758930573,0.1304631441617743
Lucky,0.0,0.0,0.019569471624266144
e-satis,2.9942279942279946,2.651089642776904,1.872146118721461
Ted Idzikowski,0.0,0.0,0.03261578604044357
Lia ,0.0,0.0,0.03261578604044357
Kubik,0.0,0.0,0.0065231572080887154
Omeed Totakhel,0.0,0.0,0.06523157208088715
MistAK,0.0,0.0,0.013046314416177431
qasim,0.0,0.0,0.019569471624266144
M. Lagha,0.0,0.0,0.019569471624266144
HalfPintBoy,0.0,0.022466861379465287,0.05870841487279843
ovunctuzel,0.0,0.0,0.03261578604044357
user46646,1.2626262626262625,0.6740058413839587,0.4892367906066536
Leandro S. Matos,0.0,0.0,0.019569471624266144
Kshitij Marwah,0.0,0.0,0.03913894324853229
wx Analysis ,0.0,0.0,0.0
an347354,0.0,0.0,0.0065231572080887154
123,0.0,0.0,0.019569471624266144
Adam,0.03607503607503607,0.011233430689732643,0.026092628832354862
Blankman,7.1067821067821075,6.346888339698944,6.046966731898238
Imran,0.5772005772005772,0.820040440350483,0.7045009784735813
AlekseyN,0.0,0.0,0.013046314416177431
Ana,0.0,0.011233430689732643,0.045662100456621
Nikolai,0.0,0.0,0.05870841487279843
lfaraone,0.5050505050505051,0.42687036620984053,0.42400521852576645
Human Cyborg Relations,0.0,0.0,0.05870841487279843
chuck,0.0,0.0,0.019569471624266144
alexis,0.18037518037518038,0.34823635138171194,0.46966731898238745
Jeren,0.0,0.022466861379465287,0.045662100456621
egig,0.10822510822510822,0.11233430689732643,0.18917155903457272
Mia Chen,0.0,0.0,0.019569471624266144
Claudiu,3.318903318903319,3.459896652437654,3.215916503587737
M3105,0.0,0.0,0.045662100456621
Vermillion,0.0,0.0,0.05870841487279843
ShirleyWang,0.0,0.0,0.03261578604044357
Allen,0.0,0.0,0.03913894324853229
devdacool,0.0,0.0,0.026092628832354862
aeRogelio,0.0,0.011233430689732643,0.045662100456621
George,0.0,0.011233430689732643,0.091324200913242
Bain,0.1443001443001443,0.056167153448663215,0.07827788649706457
maggie,0.03607503607503607,0.06740058413839586,0.08480104370515329
gregorej,0.0,0.022466861379465287,0.10437051532941945
Dilli,0.0,0.0,0.052185257664709724
Valerio D. Ciotti,0.07215007215007214,0.06740058413839586,0.11089367253750815
LoneRanger,0.0,0.0,0.019569471624266144
Romeo Kienzler,0.0,0.044933722758930573,0.091324200913242
Ray Vega,2.84992784992785,1.965850370703213,1.1545988258317026
Michelle Serino,0.0,0.0,0.019569471624266144
ningOTI,0.0,0.0,0.013046314416177431
Andy,0.0,0.0,0.019569471624266144
user2497340,0.0,0.0,0.0
Anderson Silva,0.0,0.0,0.026092628832354862
user3132032,0.0,0.0,0.0
John,0.0,0.0,0.03261578604044357
Michele Ancis,0.0,0.0,0.019569471624266144
Oskar,0.25252525252525254,0.31453605931251405,0.4044357469015003
zelenov aleksey,0.0,0.0,0.026092628832354862
Joy,0.0,0.011233430689732643,0.07827788649706457
Feynman27,0.0,0.0,0.052185257664709724
James Lemieux,0.0,0.0,0.06523157208088715
thestp123,0.0,0.0,0.0065231572080887154
GG_Python,0.0,0.10110087620759381,0.14350945857795175
Chris,0.0,0.0,0.045662100456621
Pang,0.0,0.0,0.013046314416177431
Keith,0.0,0.0,0.08480104370515329
noober,0.0,0.0,0.019569471624266144
Joshhh,0.0,0.0,0.013046314416177431
Icedtehkadai,0.0,0.0,0.0
NirIzr,0.0,0.03370029206919793,0.10437051532941945
halochief996,0.0,0.0,0.03913894324853229
Stefano Borini,1.6594516594516595,2.370253875533588,2.146118721461187
Jeyakeethan Geethan,0.0,0.0,0.0065231572080887154
dev-jim,0.0,0.044933722758930573,0.12393998695368559
Alfred H.,0.0,0.0,0.05870841487279843
Simone Jones,0.0,0.0,0.0065231572080887154
A. Mashreghi,0.0,0.022466861379465287,0.08480104370515329
xyz-123,0.03607503607503607,0.12356773758705908,0.12393998695368559
ThePloki,0.0,0.0,0.05870841487279843
Arun,0.0,0.0,0.019569471624266144
MVanOrder,0.0,0.0,0.026092628832354862
Ben Lindsay,0.0,0.03370029206919793,0.091324200913242
jelovirt,0.2886002886002886,0.29206919793304875,0.29354207436399216
user7087840,0.0,0.0,0.0065231572080887154
Joan Venge,4.761904761904762,3.808133003819367,3.731245923026745
Iroh,0.0,0.0,0.052185257664709724
tukra,0.0,0.011233430689732643,0.052185257664709724
Maddy Byahoo,0.0,0.011233430689732643,0.052185257664709724
Neil,0.0,0.0,0.013046314416177431
trent fernandez,0.0,0.0,0.052185257664709724
KDecker,0.07215007215007214,0.08986744551786115,0.18917155903457272
elias bothell,0.0,0.0,0.019569471624266144
user2983638,0.0,0.011233430689732643,0.07827788649706457
Mehrdad,2.344877344877345,3.5048303751965855,4.070450097847359
Wintro,0.0,0.0,0.091324200913242
inspectorG4dget,0.4329004329004329,0.820040440350483,0.8871493803000652
jack sparrow,0.0,0.0,0.019569471624266144
Dendory,0.0,0.011233430689732643,0.09784735812133072
pmanacas,0.0,0.0,0.03913894324853229
KbiR,0.0,0.011233430689732643,0.07175472928897587
Karan Chudasama,0.0,0.0,0.013046314416177431
zelusp,0.0,0.056167153448663215,0.09784735812133072
noobie101,0.0,0.0,0.0
Eric,0.0,0.0,0.0
dabadaba,0.07215007215007214,0.16850146034598967,0.24787997390737118
user2214237,0.0,0.0,0.026092628832354862
DomJack,0.0,0.022466861379465287,0.05870841487279843
user3286149,0.0,0.03370029206919793,0.013046314416177431
Eugene M,0.468975468975469,0.33700292069197935,0.2804957599478147
K.H.,0.0,0.011233430689732643,0.03913894324853229
freshWoWer,0.3246753246753247,0.2583689058638508,0.2087410306588389
Alex R.,0.0,0.011233430689732643,0.08480104370515329
mit,0.1443001443001443,0.3257694900022467,0.33920417482061316
Georg Heiler,0.0,0.08986744551786115,0.14350945857795175
Mohan Gulati,0.18037518037518038,0.14603459896652438,0.11741682974559686
Pankaj,0.0,0.0,0.045662100456621
Nai,0.0,0.0,0.013046314416177431
Rookie,0.0,0.0,0.019569471624266144
A. wadhawan,0.0,0.0,0.026092628832354862
wal,0.0,0.0,0.0065231572080887154
Matthew Guo,0.0,0.011233430689732643,0.052185257664709724
Chameleon,0.1443001443001443,0.2359020444843855,0.3065883887801696
Jay Cee,0.0,0.011233430689732643,0.07827788649706457
pastthedawn,0.0,0.0,0.0
zhangdi,0.0,0.0,0.019569471624266144
Jorge Rossi,0.0,0.0,0.045662100456621
zorny,0.0,0.0,0.03261578604044357
mmaceachran,0.0,0.03370029206919793,0.12393998695368559
Allie H,0.0,0.0,0.045662100456621
Xrin,0.0,0.0,0.05870841487279843
pasitrauk,0.0,0.0,0.03913894324853229
Deepak M,0.0,0.0,0.013046314416177431
Yorkot,0.0,0.08986744551786115,0.136986301369863
Branko Andrews,0.0,0.0,0.0065231572080887154
cj1689262,0.0,0.0,0.026092628832354862
Jane Doe2,0.0,0.0,0.045662100456621
Leonard Loo,0.0,0.0,0.0
thigi,0.0,0.0,0.07175472928897587
Paprika,0.0,0.0,0.03261578604044357
Tim Carnahan,0.0,0.0,0.05870841487279843
tyblu,0.03607503607503607,0.011233430689732643,0.05870841487279843
Babeeshka,0.0,0.0,0.019569471624266144
ArtOfWarfare,0.18037518037518038,0.6066052572455628,0.547945205479452
Jean Ure&#241;a,0.0,0.0,0.045662100456621
Otgonbayar Lamjav,0.0,0.0,0.013046314416177431
Diego Alejandro G&#243;mez Pardo,0.0,0.0,0.03913894324853229
RknRobin,0.0,0.0,0.03913894324853229
David G,0.0,0.0,0.0065231572080887154
Lee Gellie,0.0,0.0,0.03913894324853229
Sr Null,0.0,0.0,0.0065231572080887154
Andromedae93,0.0,0.022466861379465287,0.12393998695368559
Imanol Luengo,0.03607503607503607,0.12356773758705908,0.2152641878669276
Richard Christensen,0.0,0.044933722758930573,0.11741682974559686
Meji,0.0,0.0,0.026092628832354862
spence91,0.25252525252525254,0.2359020444843855,0.12393998695368559
belvi,0.0,0.06740058413839586,0.17612524461839532
Nagesh HS,0.0,0.0,0.013046314416177431
ENPM,0.0,0.0,0.03261578604044357
Basj,0.25252525252525254,0.4381037968995732,0.5870841487279843
Wanjila Abraham,0.0,0.0,0.019569471624266144
static,0.07215007215007214,0.34823635138171194,0.4435746901500326
Akbar,0.0,0.0,0.019569471624266144
Alejandro Simkievich,0.0,0.022466861379465287,0.09784735812133072
Jacob Alex,0.0,0.0,0.0065231572080887154
AgnieszkaTomczyk,0.0,0.0,0.019569471624266144
Captain Rib,0.0,0.0,0.045662100456621
AndrewD,0.0,0.0,0.013046314416177431
lakshmi ramya,0.0,0.0,0.0
maridlhr,0.0,0.0,0.013046314416177431
chom,0.03607503607503607,0.011233430689732643,0.08480104370515329
Brian,0.25252525252525254,0.37070321276117724,0.35225048923679064
Tushar Gupta,0.0,0.0,0.0065231572080887154
abhimanyuPathania,0.0,0.03370029206919793,0.07175472928897587
Davide Porzio,0.0,0.0,0.019569471624266144
Ana Ferreira,0.0,0.011233430689732643,0.05870841487279843
yevvy,0.0,0.0,0.0
yannenkar,0.0,0.0,0.019569471624266144
Ziyuan Ma,0.0,0.0,0.019569471624266144
RandallShane,0.0,0.056167153448663215,0.052185257664709724
Christian,0.0,0.0,0.09784735812133072
Lelo,0.0,0.0,0.05870841487279843
Pistachios,0.0,0.011233430689732643,0.03261578604044357
CarpeCimex,0.0,0.0,0.03913894324853229
Prince,0.0,0.0,0.03913894324853229
Daringa,0.0,0.0,0.026092628832354862
Taygo0o,0.0,0.011233430689732643,0.019569471624266144
3pns,0.0,0.0,0.03913894324853229
Steve He,0.0,0.0,0.026092628832354862
Vivek Srinivasan,0.0,0.0,0.03913894324853229
David Sykes,0.4329004329004329,0.5616715344866322,0.46966731898238745
Casebash,1.875901875901876,1.9096832172545497,1.898238747553816
Gern Blanston,0.5050505050505051,0.42687036620984053,0.37181996086105673
dani borisenko,0.0,0.0,0.019569471624266144
Alex Kasapis,0.0,0.0,0.03261578604044357
Pyson,0.0,0.0,0.0065231572080887154
user297850,0.25252525252525254,0.3033026286227814,0.24787997390737118
fatalaccidents,0.0,0.0,0.052185257664709724
Alex,0.0,0.0,0.026092628832354862
Lorys,0.0,0.0,0.045662100456621
miller9904,0.0,0.0,0.045662100456621
Alex. S.,0.3968253968253968,0.4493372275893057,0.33920417482061316
Dervin Thunk,0.468975468975469,0.7077061334531566,0.91324200913242
Carl Meyer,0.468975468975469,0.9548416086272749,0.6523157208088715
Bill Ancalagon the black,0.0,0.0,0.07175472928897587
Purushothaman R,0.0,0.0,0.026092628832354862
priya,0.5411255411255411,0.4381037968995732,0.42400521852576645
Mizipzor,0.5050505050505051,0.7863401482812851,0.7893020221787345
bob_the_bob,0.0,0.0,0.05870841487279843
DDDD,0.0,0.0,0.019569471624266144
Parand,1.2265512265512266,1.35924511345765,1.1024135681669929
student,0.0,0.0,0.026092628832354862
CodingYourLife,0.07215007215007214,0.10110087620759381,0.16307893020221786
Drxxd,0.0,0.0,0.03261578604044357
Daryl Spitzer,1.948051948051948,1.4491125589755112,1.004566210045662
data_garden,0.0,0.056167153448663215,0.12393998695368559
Yethrosh,0.0,0.0,0.013046314416177431
Lema,0.0,0.0,0.026092628832354862
C.Dooner,0.0,0.0,0.0065231572080887154
Dean Christian Armada,0.0,0.022466861379465287,0.08480104370515329
Jeanne Diderot,0.0,0.0,0.013046314416177431
eph,0.0,0.07863401482812851,0.09784735812133072
defekas17,0.0,0.0,0.013046314416177431
Brendan Abel,0.10822510822510822,0.20220175241518762,0.31963470319634707
user3175999,0.0,0.0,0.05870841487279843
iangolden,0.0,0.0,0.045662100456621
Jaktens Tid,0.0,0.0,0.0065231572080887154
